"","X","subjNum","groupStatus","numDist","conf","hitCount","allOldCount","rtHit","faCount","allNewCount","rtFA","distPresent","hitRate","faRate","dprime","mmi","adhd","bis"
"530",530,70,"",6,"hi",14,25,1.0140945,4,50,0.936884,"dist",0.557692307692308,0.0882352941176471,1.49682318114144,4.51,1,55
"532",532,71,"HMM",0,"hi",18,25,2.0195305,8,50,2.1066855,"nodist",0.711538461538462,0.166666666666667,1.5253063289413,7.26,5,71
"538",538,71,"HMM",6,"hi",20,25,2.046357,8,50,2.1066855,"dist",0.788461538461538,0.166666666666667,1.76851609538365,7.26,5,71
"540",540,72,"HMM",0,"hi",9,25,0.985799,10,50,1.018827,"nodist",0.365384615384615,0.205882352941176,0.476689625449365,5.81,2,52
"546",546,72,"HMM",6,"hi",10,25,0.920911,10,50,1.018827,"dist",0.403846153846154,0.205882352941176,0.577387910521749,5.81,2,52
"548",548,73,"",0,"hi",9,25,1.161064,20,50,1.2986245,"nodist",0.365384615384615,0.401960784313726,-0.0958273697758994,3.3,1,48
"553",553,73,"",6,"hi",16,25,1.033506,20,50,1.2986245,"dist",0.634615384615385,0.401960784313726,0.592377555990132,3.3,1,48
"554",554,74,"LMM",0,"hi",5,25,1.318999,3,50,1.113037,"nodist",0.211538461538462,0.0686274509803922,0.684997040048506,2.16,4,76
"560",560,74,"LMM",6,"hi",7,25,1.087692,3,50,1.113037,"dist",0.288461538461538,0.0686274509803922,0.928206806490858,2.16,4,76
"562",562,75,"LMM",0,"hi",9,25,1.689534,0,50,NA,"nodist",0.365384615384615,0.00980392156862745,1.98966611192412,2.68,3,68
"568",568,75,"LMM",6,"hi",5,25,1.777847,0,50,NA,"dist",0.211538461538462,0.00980392156862745,1.53267404552519,2.68,3,68
"570",570,77,"LMM",0,"hi",6,25,0.779151,3,50,0.710227,"nodist",0.25,0.0686274509803922,0.811601819134374,2.95,5,92
"576",576,77,"LMM",6,"hi",10,25,0.825848,3,50,0.710227,"dist",0.403846153846154,0.0686274509803922,1.24268739151983,2.95,5,92
"578",578,78,"LMM",0,"hi",5,25,1.205529,3,50,1.011167,"nodist",0.211538461538462,0.0686274509803922,0.684997040048506,2.73,1,59
"584",584,78,"LMM",6,"hi",4,25,1.0639895,3,50,1.011167,"dist",0.173076923076923,0.0686274509803922,0.54401579433468,2.73,1,59
"586",586,79,"",0,"hi",9,25,0.891169,10,50,1.015357,"nodist",0.365384615384615,0.205882352941176,0.476689625449365,5.41,2,46
